date,heartrate
2025-02-25 07:11:48 +0100,84.0
2025-02-25 07:11:38 +0100,83.5528
2025-02-25 07:14:26 +0100,78.0
2025-02-25 07:20:03 +0100,66.0
2025-02-25 07:28:59 +0100,88.0
2025-02-25 07:35:24 +0100,63.0
2025-02-25 07:41:03 +0100,67.0
2025-02-25 07:45:14 +0100,75.0
2025-02-25 07:49:02 +0100,68.0
2025-02-25 07:53:52 +0100,60.0
2025-02-25 08:04:30 +0100,97.0
2025-02-25 08:07:52 +0100,82.0
2025-02-25 08:15:37 +0100,90.0
2025-02-25 08:19:33 +0100,70.0
2025-02-25 08:24:39 +0100,75.0
2025-02-25 08:27:50 +0100,80.0
2025-02-25 08:35:13 +0100,74.0
2025-02-25 08:41:10 +0100,71.0
2025-02-25 08:46:52 +0100,71.0
2025-02-25 08:49:31 +0100,75.3277
2025-02-25 08:49:51 +0100,73.0
2025-02-25 08:56:59 +0100,71.0
2025-02-25 09:00:34 +0100,66.0
2025-02-25 09:06:49 +0100,76.0
2025-02-25 09:08:36 +0100,69.0
2025-02-25 09:13:51 +0100,66.0
2025-02-25 09:18:36 +0100,67.0
2025-02-25 09:27:20 +0100,70.0
2025-02-25 09:29:17 +0100,65.0
2025-02-25 09:36:07 +0100,71.0
2025-02-25 09:39:10 +0100,68.0
2025-02-25 09:44:31 +0100,62.0
2025-02-25 09:50:41 +0100,58.0
2025-02-25 09:55:00 +0100,64.0
2025-02-25 09:58:29 +0100,68.0
2025-02-25 10:21:22 +0100,76.0
2025-02-25 10:06:40 +0100,46.0
2025-02-25 10:22:14 +0100,82.0
2025-02-25 10:24:58 +0100,79.0
2025-02-25 10:29:51 +0100,96.0
2025-02-25 10:29:53 +0100,94.0
2025-02-25 10:29:57 +0100,92.0
2025-02-25 10:30:06 +0100,103.0
2025-02-25 10:30:07 +0100,102.0
2025-02-25 10:30:12 +0100,102.0
2025-02-25 10:30:21 +0100,102.0
2025-02-25 10:30:24 +0100,103.0
2025-02-25 10:30:31 +0100,105.0
2025-02-25 10:30:35 +0100,107.0
2025-02-25 10:30:41 +0100,106.0
2025-02-25 10:34:04 +0100,61.0
2025-02-25 10:40:02 +0100,83.0
2025-02-25 10:47:07 +0100,70.0
2025-02-25 10:52:00 +0100,81.0
2025-02-25 10:55:05 +0100,75.0
2025-02-25 10:59:57 +0100,80.0
2025-02-25 11:03:41 +0100,67.0
2025-02-25 11:09:48 +0100,75.0
2025-02-25 11:14:36 +0100,61.0
2025-02-25 11:18:59 +0100,73.0
2025-02-25 11:26:24 +0100,70.4751
2025-02-25 11:26:21 +0100,73.0
2025-02-25 11:27:29 +0100,71.0
2025-02-25 11:32:45 +0100,70.0
2025-02-25 11:41:39 +0100,68.0
2025-02-25 11:46:42 +0100,69.0
2025-02-25 11:51:46 +0100,71.0
2025-02-25 11:54:14 +0100,73.0
2025-02-25 12:00:25 +0100,72.0
2025-02-25 12:11:00 +0100,112.0
2025-02-25 12:11:09 +0100,116.0
2025-02-25 12:11:14 +0100,117.0
2025-02-25 12:11:16 +0100,120.0
2025-02-25 12:11:23 +0100,121.0
2025-02-25 12:11:28 +0100,116.0
2025-02-25 12:11:30 +0100,116.0
2025-02-25 12:11:39 +0100,117.0
2025-02-25 12:11:44 +0100,117.0
2025-02-25 12:11:48 +0100,118.0
2025-02-25 12:11:50 +0100,118.0
2025-02-25 12:14:46 +0100,124.0
2025-02-25 12:14:50 +0100,124.0
2025-02-25 12:14:55 +0100,122.0
2025-02-25 12:36:01 +0100,70.0
2025-02-25 12:42:26 +0100,67.0
2025-02-25 12:45:12 +0100,71.0
2025-02-25 12:51:45 +0100,66.0
2025-02-25 12:56:25 +0100,71.0
2025-02-25 13:01:40 +0100,71.0
2025-02-25 13:03:11 +0100,59.0
2025-02-25 13:09:08 +0100,69.8474
2025-02-25 13:09:45 +0100,70.0
2025-02-25 13:16:21 +0100,70.0
2025-02-25 13:18:42 +0100,78.0
2025-02-25 13:24:32 +0100,65.0
2025-02-25 13:31:54 +0100,62.0
2025-02-25 13:37:11 +0100,69.0
2025-02-25 13:39:57 +0100,63.0
2025-02-25 13:46:18 +0100,68.0
2025-02-25 13:48:47 +0100,70.0
2025-02-25 13:56:08 +0100,66.0
2025-02-25 13:58:51 +0100,58.0
2025-02-25 14:03:36 +0100,113.0
2025-02-25 14:03:42 +0100,114.0
2025-02-25 14:03:59 +0100,113.0
2025-02-25 14:04:05 +0100,113.0
2025-02-25 14:04:08 +0100,113.0
2025-02-25 14:04:15 +0100,114.0
2025-02-25 14:04:16 +0100,114.0
2025-02-25 14:04:25 +0100,113.0
2025-02-25 14:04:27 +0100,114.0
2025-02-25 14:10:26 +0100,100.0
2025-02-25 14:10:38 +0100,111.0
2025-02-25 14:10:46 +0100,129.0
2025-02-25 14:10:51 +0100,125.0
2025-02-25 14:10:54 +0100,126.0
2025-02-25 14:10:57 +0100,126.0
2025-02-25 14:11:06 +0100,117.0
2025-02-25 14:11:07 +0100,117.0
2025-02-25 14:11:13 +0100,110.0
