Úterý 25.02.2025: Table 1
Kalorické Tabulky;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Potraviny;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Název;Čas zápisu;Množství;kcal;Bílkoviny [g];Sacharidy [g];Cukry [g];Tuky [g];Nasycené mastné kyseliny [g];Trans mastné kyseliny [g];Cholesterol [mg];Vláknina [g];Sodík [mg];Vápník [g];PHE [mg]
Snídaně [0 kcal];;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Dopolední svačina [0 kcal];;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Oběd [0 kcal];;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Odpolední svačina [456 kcal];;;;;;;;;;;;;;
francouzská bageta;14:30;1 x malý kus (50 g);110;3,8;22;0,35;0,55;0,05;;;1;;;0,19
banán;14:20;1 x kus (90 g);84,6;1,1;19,8;17,1;0,18;0,09;0;0;1,8;0;0,01;0,05
Hummus Tomate y albahaca Chef Select;14:30;1 x 100 g;262;4,9;12,3;1,8;21,7;1,9;;;;;;0,25
;;;;;;;;;;;;;;
Večeře [1 311 kcal];;;;;;;;;;;;;;
pizza šunková;18:52;4 x 100 g;1 100;35,9;151;13,3;38,2;8;0;70,2;5,9;;0,41;1,8
Kofola Original;19:58;1 x 100 ml;32,5;0,5;8;8;0,5;0,1;;;;;;0,03
Džus 100% Pomeranč Relax;19:33;4 x 100 ml;179;2,4;40;40;0;0;;;;;;0,12
;;;;;;;;;;;;;;
Druhá večeře [0 kcal];;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Aktivity;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Název;Čas zápisu;Čas;kcal;;;;;;;;;;;
aktivita Apple Zdraví;;;1 090;;;;;;;;;;;
trávení potravin (10 % přijaté energie);;;177;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Potraviny celkem;1 767 kcal;;;;;;;;;;;;;
Aktivity celkem;1 267 kcal;;;;;;;;;;;;;
Celkem;500 kcal;;;;;;;;;;;;;
Pitný režim;0,5 l;;;;;;;;;;;;;

Středa 26.02.2025: Table 1
Kalorické Tabulky;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Potraviny;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Název;Čas zápisu;Množství;kcal;Bílkoviny [g];Sacharidy [g];Cukry [g];Tuky [g];Nasycené mastné kyseliny [g];Trans mastné kyseliny [g];Cholesterol [mg];Vláknina [g];Sodík [mg];Vápník [g];PHE [mg]
